CustomerID,ab_group
6275-YDUVO,A
0115-TFERT,B
2311-QYMUQ,A
3643-AHCFP,B
3104-OWCGK,B
9101-BWFSS,A
9231-ZJYAM,A
6982-SSHFK,A
0727-BMPLR,B
1038-ZAGBI,B
3027-ZTDHO,B
2382-BCKQJ,B
2207-NHRJK,B
0947-MUGVO,B
9944-HKVVB,A
4124-MMETB,B
3671-SHRSP,B
3313-QKNKB,B
5073-WXOYN,B
0207-MDKNV,B
9851-KIELU,B
3908-BLSYF,B
7549-MYGPK,A
3804-RVTGV,B
9227-LUNBG,B
4315-MURBD,B
9734-YWGEX,B
2719-BDAQO,B
0781-LKXBR,B
1907-UBQFC,B
6513-EECDB,A
7074-IEVOJ,A
9625-QSTYE,B
4750-ZRXIU,A
6400-BWQKW,B
6680-WKXRZ,A
7028-DVOIQ,A
4208-UFFGW,B
9448-REEVD,B
9117-SHLZX,B
9889-TMAHG,A
4541-RMRLG,A
3158-MOERK,B
7294-TMAOP,B
8919-FYFQZ,B
2834-JRTUA,B
5875-YPQFJ,A
6646-QVXLR,B
8603-IJWDN,A
9369-XFEHK,B
3842-IYKUE,A
6641-XRPSU,B
1374-DMZUI,B
8357-EQXFO,B
1989-PRJHP,B
9524-EGPJC,A
6993-OHLXR,B
8818-XYFCQ,B
4695-VADHF,A
3863-IUBJR,A
4822-RVYBB,A
8436-BJUMM,B
4184-TJFAN,A
4145-UQXUQ,A
9948-YPTDG,A
1236-WFCDV,A
4883-QICIH,B
8329-IBCTI,A
1271-SJBGZ,B
5669-SRAIP,B
5981-ITEMU,B
6941-PMGEP,A
1624-WOIWJ,A
2074-GKOWZ,A
0376-YMCJC,A
0634-SZPQA,B
5536-RTPWK,A
6166-ILMNY,B
3097-NNSPB,A
0655-RBDUG,A
4361-BKAXE,B
9878-TNQGW,A
4441-NIHPT,B
8999-BOHSE,B
7029-RPUAV,B
4607-CHPCA,A
8824-RWFXJ,B
9763-PDTKK,B
7627-JKIAZ,A
4081-DYXAV,B
8111-SLLHI,A
0927-LCSMG,A
8257-RZAHR,B
5293-WXJAK,A
0841-NULXI,A
7851-WZEKY,B
8844-TONUD,B
4086-YQSNZ,B
5868-CZJDR,A
0135-NMXAP,A
6270-OMFIW,A
0107-WESLM,B
3992-YWPKO,B
0125-LZQXK,B
8399-YNDCH,A
5673-FSSMF,A
1579-KLYDT,B
3927-NLNRY,B
6358-LYNGM,B
5494-HECPR,A
9824-BEMCV,A
1373-ORVIZ,B
9866-QEVEE,B
9897-KXHCM,A
7979-CORPM,B
1618-CFHME,B
3165-HDOEW,A
6581-NQCBA,B
1689-MRZQR,B
5835-BEQEU,A
5565-FILXA,A
5552-ZNFSJ,B
2223-KAGMX,B
7321-PKUYW,A
2833-SLKDQ,A
7595-EUIVN,A
2026-TGDHM,B
4030-VPZBD,B
4187-CINZD,A
6818-WOBHJ,A
2408-TZMJL,A
9134-CEQMF,B
7993-PYKOF,A
5027-XWQHA,B
4566-QVRRW,B
8519-IMDHU,B
0201-OAMXR,A
3372-KWFBM,B
7831-QGOXH,B
6393-WRYZE,B
6599-RCLCJ,B
9831-BPFRI,B
1725-MIMXW,B
0031-PVLZI,B
7206-GZCDC,A
4791-QRGMF,A
1768-ZAIFU,B
4671-LXRDQ,A
1934-SJVJK,B
3838-OZURD,A
9269-CQOOL,A
2845-HSJCY,A
1184-PJVDB,A
9415-DPEWS,A
7943-RQCHR,B
3793-MMFUH,B
3249-ZPQRG,A
2568-BRGYX,A
7721-JXEAW,B
7249-WBIYX,A
6567-HOOPW,B
3164-AALRN,A
3334-CTHOL,A
4704-ERYFC,A
8621-MNIHH,A
0471-LVHGK,B
9518-RWHZL,A
5419-CONWX,A
6240-EURKS,A
6960-HVYXR,A
7024-OHCCK,B
7861-UVUFT,A
5357-TZHPP,A
0680-DFNNY,B
7767-UXAGJ,B
1571-SAVHK,B
9546-CQJSU,A
0506-LVNGN,A
2951-QOQTK,B
3473-XIIIT,A
7893-IXHRQ,B
2952-QAYZF,A
4763-PGDPO,B
5394-SVGJV,B
9283-LZQOH,A
7079-QRCBC,B
5469-CTCWN,A
9851-QXEEQ,B
9809-IMGCQ,A
5208-HFSBT,A
3254-YRILK,B
2667-WYLWJ,A
0529-ONKER,B
5240-IJOQT,A
1092-GANHU,A
0661-XEYAN,B
7881-EVUAD,A
5766-XQXMQ,B
3703-VAVCL,A
8519-QJGJD,B
6326-MTTXK,B
0330-IVZHA,B
2886-KEFUM,B
4237-RLAQD,B
9651-GTSAQ,B
3186-BAXNB,A
0637-YLETY,A
1157-BQCUW,A
2660-EMUBI,B
7675-OZCZG,A
2003-CKLOR,B
9254-RBFON,A
1205-WNWPJ,B
9391-EOYLI,A
8387-MOJJT,B
2761-OCIAX,A
3068-OMWZA,A
6032-KRXXO,A
7459-RRWQZ,B
4154-AQUGT,B
3092-IGHWF,A
8017-LXHFA,A
6352-TWCAU,B
2929-QNSRW,A
1262-OPMFY,B
4248-QPAVC,B
1899-VXWXM,B
4690-LLKUA,A
3331-HQDTW,B
9490-DFPMD,B
5442-XSDCW,B
3049-NDXFL,B
8580-AECUZ,B
7963-GQRMY,A
1228-FZFRV,B
2058-DCJBE,A
5364-XYIRR,B
4829-AUOAX,A
5047-LHVLY,B
9158-VCTQB,B
6311-UEUME,B
6839-ITVZJ,B
0375-HVGXO,B
8593-WHYHV,A
6097-EQISJ,A
4423-YLHDV,A
0107-YHINA,A
8640-SDGKB,A
4116-TZAQJ,A
3877-JRJIP,A
8375-DKEBR,A
7511-YMXVQ,A
7551-JOHTI,B
9804-ICWBG,B
5318-IXUZF,B
3198-VELRD,B
9436-ZBZCT,B
7279-BUYWN,B
7156-MHUGY,A
7198-GLXTC,A
0516-VRYBW,A
8380-PEFPE,B
5687-DKDTV,A
7530-HDYDS,B
3096-IZETN,B
5922-ABDVO,B
9172-ANCRX,A
6910-HADCM,A
4816-LXZYW,A
9606-PBKBQ,B
3536-IQCTX,B
4911-BANWH,A
8496-EJAUI,A
3132-TVFDZ,A
8080-DDEMJ,A
6365-MTGZX,A
1349-WXNGG,B
6990-YNRIO,A
0621-TWIEM,A
2485-ITVKB,B
3669-OYSJI,B
1612-EOHDH,B
6702-OHFWR,A
4510-PYUSH,A
7517-SAWMO,B
4143-HHPMK,B
7054-LGEQW,B
0923-PNFUB,A
3494-JCHRQ,A
6474-FVJLC,B
8840-DQLGN,A
4547-LYTDD,B
6770-XUAGN,A
4193-ORFCL,A
7776-QWNFX,B
6689-TCZHQ,A
3143-ILDAL,A
4720-VSTSI,B
3946-MHCZW,A
6651-AZVTJ,A
4566-GOLUK,A
2484-DGXPZ,A
4587-NUKOX,A
0420-BWTPW,B
8183-ONMXC,B
9614-RMGHA,B
5054-IEXZT,A
5834-ASPWA,A
3948-XHGNA,B
0565-IYCGT,A
5445-UTODQ,B
1024-VRZHF,A
9497-QCMMS,A
0348-SDKOL,A
4373-MAVJG,A
8901-HJXTF,B
5419-KLXBN,A
3424-NMNBO,B
4514-GFCFI,A
9828-AOQLM,A
8000-REIQB,A
7615-ESMYF,A
3858-VOBET,A
1447-PJGGA,B
8565-CLBZW,A
9139-WQQDY,A
0224-HJAPT,B
8086-OVPWV,B
9430-FRQOC,B
3074-GQWYX,B
6845-RGTYS,B
8861-HGGKB,A
7065-YUNRY,B
7694-VLBWQ,B
4795-KTRTH,B
6481-OGDOO,B
3753-TSEMP,B
8305-VHZBZ,A
9172-JITSM,A
6298-QDFNH,B
9961-JBNMK,B
6173-ITPWD,B
9734-UYXQI,A
2189-UXTKY,A
4958-GZWIY,B
6356-ELRKD,B
8624-GIOUT,A
6179-GJPSO,B
3177-LASXD,B
4897-QSUYC,A
1084-UQCHV,A
8290-YWKHZ,B
2955-BJZHG,B
3806-DXQOM,A
9300-RENDD,B
0761-AETCS,B
2153-MREFK,B
3106-ULWFW,A
0925-VYDLG,A
4349-GFQHK,A
7802-EFKNY,A
8035-BUYVG,B
9787-XVQIU,B
8945-MUQUF,A
8051-HJRLT,B
3023-GFLBR,B
0524-IAVZO,B
2737-YNGYW,A
5159-YFPKQ,B
4021-RQSNY,B
9061-TIHDA,B
8699-ASUFO,B
7927-AUXBZ,B
4695-WJZUE,B
7619-ODSGN,A
3988-RQIXO,B
2514-GINMM,B
5931-FLJJF,B
2659-VXMWZ,A
3207-OYBWH,A
4285-GYRQC,B
7216-EWTRS,A
8337-MSSXB,A
8182-BJDSI,B
2528-HFYZX,B
2482-CZGBB,A
0866-QLSIR,A
7181-BQYBV,B
6204-IEUXJ,A
4529-CKBCL,B
2506-CLAKW,B
1583-IHQZE,B
0151-ONTOV,A
4140-MUHUG,B
0320-JDNQG,A
7180-PISOG,B
3571-RFHAR,B
9578-VRMNM,B
1587-FKLZB,B
6140-QNRQQ,A
4307-KTUMW,B
5440-FLBQG,A
7470-MCQTK,A
7488-MXJIV,A
2027-FECZV,B
2672-DZUOY,B
3870-MQAMG,A
4800-CZMPC,A
7377-DMMRI,B
8949-JTMAY,A
2774-LVQUS,A
3211-ILJTT,B
4612-THJBS,B
4094-NSEDU,A
5103-MHMHY,B
1846-XWOQN,B
0235-KGSLC,A
2884-GBPFB,B
3757-NJYBX,B
5136-KCKGI,B
3722-WPXTK,B
2929-ERCFZ,A
7548-SEPYI,A
8835-VSDSE,A
1623-NLDOT,B
9898-KZQDZ,A
5236-PERKL,B
7854-FOKSF,B
2519-FAKOD,A
8263-JQAIK,A
7089-IVVAZ,B
2205-YMZZJ,A
1254-IZEYF,A
9492-TOKRI,B
9221-OTIVJ,A
3325-FUYCG,B
5908-QMGOE,B
8481-YYXWG,B
2609-IAICY,B
1740-CSDJP,B
2636-OHFMN,B
1323-OOEPC,A
0397-GZBBC,B
7641-EUYET,A
9921-ZVRHG,A
4701-MLJPN,B
9206-GVPEQ,B
1596-BBVTG,A
8433-WXGNA,B
3707-GNWHM,B
8922-LIEGH,A
8245-UMPYT,A
5186-SAMNZ,A
5373-SFODM,A
5766-ZJYBB,A
8931-GJJIQ,B
4277-PVRAN,A
0022-TCJCI,B
0203-HHYIJ,B
0952-KMEEH,B
8178-EYZUO,B
5130-IEKQT,A
3230-WYKIR,A
0407-BDJKB,A
9600-UDOPK,B
4074-SJFFA,B
3269-ATYWD,B
4910-GMJOT,A
0354-WYROK,A
7576-OYWBN,A
5539-TMZLF,B
4323-SADQS,A
4446-BZKHU,A
5202-IVJNU,A
5976-JCJRH,A
0137-OCGAB,A
3351-NQLDI,A
7593-JNWRU,B
4588-YBNIB,A
3336-JORSO,A
5028-GZLDO,B
6861-XWTWQ,B
6877-TJMBR,B
6769-DCQLI,A
2433-KMEAS,B
2195-ZRVAX,A
3550-SAHFP,B
2011-TRQYE,B
4873-ILOLJ,A
2725-KXXWT,B
9565-DJPIB,A
8348-HFYIV,A
6849-WLEYG,A
4659-NZRUF,B
8429-XIBUM,A
2608-BHKFN,B
7341-LXCAF,A
9462-MJUAW,A
8128-YVJRG,A
4283-FUTGF,B
1569-TTNYJ,A
2397-BRLOM,A
4749-VFKVB,A
7598-UAASY,B
7938-OUHIO,A
8510-AWCXC,B
0431-APWVY,A
3426-NIYYL,B
8225-BTJAU,A
3387-VATUS,B
1143-NMNQJ,B
0415-MOSGF,B
1724-BQUHA,B
4826-XTSOH,A
2495-INZWQ,B
4139-SUGLD,A
6857-VWJDT,B
5624-BQSSA,B
2408-WITXK,A
5577-OTWWW,B
6100-QQHEB,B
2634-HCZGT,A
7503-QQRVF,A
2691-NZETQ,A
4404-HIBDJ,B
7295-JOMMD,B
5013-SBUIH,A
0709-TVGUR,A
6023-YEBUP,B
7209-JCUDS,B
3001-CBHLQ,B
6158-DWPZT,B
3763-GCZHZ,A
0772-GYEQQ,A
4831-EOBFE,B
4102-OQUPX,B
9170-GYZJC,A
3999-QGRJH,A
2454-RPBRZ,A
2002-MZHWP,A
2265-CYWIV,B
2004-OCQXK,B
5027-QPKTE,A
2672-HUYVI,B
7508-MYBOG,B
0148-DCDOS,B
9992-RRAMN,A
0310-MVLET,A
4550-VBOFE,B
5696-QURRL,B
7409-KIUTL,B
1732-VHUBQ,A
0495-RVCBF,B
7854-EDSSA,A
8869-TORSS,A
0679-IDSTG,B
2115-BFTIW,B
0611-DFXKO,A
7780-OTDSO,B
9747-DDZOS,A
0564-JJHGS,A
3348-CFRNX,A
1428-GTBJJ,B
8802-UNOJF,A
6313-GIDIT,B
2845-AFFTX,B
2249-YPRNG,B
7410-YTJIK,A
4626-GYCZP,B
5590-BYNII,B
3237-AJGEH,A
1591-NFNLQ,A
2815-CPTUL,A
0596-BQCEQ,B
1481-ZUWZA,A
2309-OSFEU,B
1891-FZYSA,B
7613-LLQFO,A
2640-PMGFL,B
3801-HMYNL,B
9685-WKZGT,B
6022-UGGSO,B
4484-CGXFK,A
6214-EDAKZ,B
6127-ISGTU,A
8740-XLHDR,A
1208-DNHLN,A
1761-AEZZR,A
3923-CSIHK,B
7120-RFMVS,B
7317-GGVPB,B
1322-AGOQM,B
3677-IYRBF,A
5692-FPTAH,A
1550-LOAHA,B
0268-QKIWO,A
0876-WDUUZ,A
0617-FHSGK,A
2858-MOFSQ,A
8118-LSUEL,A
7005-CCBKV,B
4250-FDVOU,B
5277-ZLOOR,B
2141-RRYGO,A
6376-GAHQE,B
5052-PNLOS,A
6979-ZNSFF,A
2386-LAHRK,A
6032-IGALN,A
4248-HCETZ,A
0516-WJVXC,B
9174-FKWZE,A
8809-RIHDD,A
4822-NGOCH,A
5307-DZCVC,B
8679-JOEVF,B
1432-FPAXX,A
4803-AXVYP,B
3884-HCSWG,B
5077-DXTCG,A
1142-WACZW,B
5649-ANRML,A
4892-VLANZ,B
2919-HBCJO,A
4236-XPXAV,B
3030-YZADT,B
7410-KTVFV,A
8393-DLHGA,B
7395-IGJOS,A
2834-SPCJV,A
7890-VYYWG,B
9907-SWKKF,A
0587-DMGBH,A
6397-JNZZG,A
3523-QRQLL,A
0895-DQHEW,B
8149-RSOUN,A
7250-EQKIY,B
4013-UBXWQ,A
5519-NPHVG,B
8849-GYOKR,B
3148-BLQJT,B
0461-CVKMU,A
8806-EAGWC,B
7779-LGOVN,B
9710-ZUSHQ,B
4183-WCSEP,B
5498-TXHLF,B
9722-UJOJR,B
3902-FOIGH,B
6772-KSATR,B
7112-OPOTK,B
4210-QFJMF,B
3318-OSATS,A
5828-AVIPD,B
1086-LXKFY,B
2636-ALXXZ,B
7774-OJSXI,B
7786-WBJYI,B
9885-CSMWE,A
5016-ETTFF,A
3866-MDTUB,B
8058-JMEQO,B
0697-ZMSWS,A
7657-DYEPJ,A
8276-MQBYC,A
7593-XFKDI,B
0337-CNPZE,B
1513-XNPPH,A
6015-VVHHE,B
6347-DCUIK,A
0897-FEGMU,B
7663-RGWBC,B
1120-BMWUB,A
9124-LHCJQ,B
2235-ZGKPT,A
3891-PUQOD,A
0689-NKYLF,A
3658-KIBGF,A
5519-YLDGW,A
4946-EDSEW,A
2516-VQRRV,B
7580-UGXNC,A
5178-LMXOP,B
8185-UPYBR,B
4585-HETAI,B
7526-BEZQB,B
4951-UKAAQ,B
2108-YKQTY,B
4918-QLLIW,B
7056-IMHCC,B
1625-JAIIY,A
2947-DOMLJ,B
4112-LUEIZ,B
4510-HIMLV,B
8749-JMNKX,B
2430-USGXP,A
5955-ERIHD,A
0917-EZOLA,B
5949-EBSQK,A
7274-RTAPZ,B
0311-UNPFF,B
3834-XUIFC,B
8414-MYSHR,B
7599-FKVXZ,A
8229-TNIQA,B
6221-AVQYL,B
7743-EXURX,A
5569-KGJHX,B
4988-IQIGL,A
7730-IUTDZ,B
0426-TIRNE,A
7587-RZNME,B
0748-RDGGM,B
4706-AXVKM,B
5889-JTMUL,A
9026-RNUJS,A
3746-EUBYR,B
2332-EFBJY,A
9474-PHLYD,B
2165-VOEGB,B
2219-MVUSO,A
8914-RBTSB,B
0963-ZBDRN,A
7594-RQHXR,B
6331-EWIEB,A
5998-VVEJY,B
1624-NALOJ,B
4317-VTEOA,B
1670-SVOWZ,A
7541-YLXCL,A
0260-ZDLGK,B
8722-NGNBH,B
6210-KBBPI,A
0133-BMFZO,A
6128-CZOMY,B
9540-JYROE,B
2260-USTRB,A
3656-TKRVZ,A
8623-TMRBY,B
1501-SGHBW,A
3208-YPIOE,A
2612-RANWT,A
6900-PXRMS,A
3346-BRMIS,B
2933-FILNV,A
9986-BONCE,A
2722-JMONI,B
4083-EUGRJ,A
7579-OOPEC,B
1771-OADNZ,A
0612-RTZZA,A
6410-LEFEN,A
3194-ORPIK,A
8816-VXNZD,B
9378-FXTIZ,B
1723-HKXJQ,A
7825-GKXMW,B
1240-KNSEZ,B
0836-SEYLU,A
4433-JCGCG,B
3716-BDVDB,A
5899-MQZZL,B
6849-OYAMU,A
9488-HGMJH,A
6038-GCYEC,B
1150-WFARN,B
3144-AUDBS,B
5616-PRTNT,B
4818-QIUFN,A
6961-VCPMC,A
6688-UZPWD,A
2839-RFSQE,B
0968-GSIKN,B
1965-DDBWU,B
9057-SIHCH,A
6771-XWBDM,A
8601-QACRS,A
2391-SOORI,A
2645-QTLMB,B
4806-HIPDW,A
4424-TKOPW,B
8443-ZRDBZ,B
9136-ALYBR,B
7479-NITWS,B
2959-MJHIC,B
4201-JMNGR,B
5960-WPXQM,B
0684-AOSIH,B
8260-NGFNY,B
1866-RZZQS,B
8631-NBHFZ,B
4958-XCBDQ,A
8337-UPOAQ,A
1725-IQNIY,A
6598-RFFVI,B
6712-OAWRH,A
8614-VGMMV,B
2930-UOTMB,A
5914-DVBWJ,A
2533-QVMSK,A
8644-XLFBW,A
8625-AZYZY,A
9306-CPCBC,A
1833-VGRUM,A
8374-XGEJJ,A
2656-TABEH,A
6946-LMSQS,B
2325-ZUSFD,A
3932-CMDTD,A
4039-HEUNW,A
0812-WUPTB,B
3594-UVONA,B
0004-TLHLJ,A
5089-IFSDP,B
4817-VYYWS,B
1396-QWFBJ,B
5299-SJCZT,A
2403-BCASL,A
2898-LSJGD,B
7359-PTSXY,B
4503-BDXBD,B
6086-ESGRL,B
3886-CERTZ,A
5759-RCVCB,A
6372-RFVNS,B
8938-UMKPI,B
0991-BRRFB,B
3871-IKPYH,A
6319-IEJWJ,A
9025-AOMKI,B
5275-SQEIZ,A
7716-YTYHG,B
4390-KYULV,A
1304-NECVQ,B
8945-GRKHX,A
6959-UWKHF,A
3815-SLMEF,B
5154-VEKBL,B
5655-JSMZM,B
4505-EXZHB,A
4587-VVTOX,B
4652-NNHNY,B
8972-HJWNV,B
8515-OCTJS,A
2860-RANUS,B
5261-QSHQM,A
8868-WOZGU,B
1334-FJSVR,A
7625-XCQRH,A
1731-TVIUK,B
0406-BPDVR,A
0618-XWMSS,A
5276-KQWHG,B
2565-JSLRY,A
6689-KXGBO,B
6615-NGGZJ,A
4255-DDUOU,B
2984-MIIZL,B
5590-YRFJT,B
3677-TNKIO,A
9667-EQRXU,B
3329-WDIOK,B
2873-ZLIWT,B
3415-TAILE,A
1915-IOFGU,B
3045-XETSH,A
7239-HZZCX,B
7683-CBDKJ,A
0946-CLJTI,B
0628-CNQRM,A
7665-TOALD,B
0112-QWPNC,B
0324-BRPCJ,B
2777-PHDEI,B
1196-AMORA,A
4282-YMKNA,B
5356-RHIPP,A
9189-JWSHV,A
0746-JTRFU,A
0576-WNXXC,A
4628-CTTLA,B
2876-VBBBL,B
6834-NXDCA,B
5597-GLBUC,A
2748-MYRVK,A
4822-YCXMX,A
9821-POOTN,A
6559-ILWKJ,A
4229-CZMLL,A
3663-MITLP,B
9025-ZRPVR,B
3285-UCQVC,A
5482-PLVPE,A
4902-OHLSK,A
0495-ZBNGW,A
2357-COQEK,A
3737-GCSPV,B
4088-YLDSU,B
2034-CGRHZ,A
5797-APWZC,A
3683-QKIUE,B
4228-ZGYUW,B
3519-ZKXGG,B
6416-TVAIH,A
5108-ADXWO,B
3066-RRJIO,B
6715-OFDBP,A
1567-DSCIC,A
2150-UWTFY,A
2683-BPJSO,A
2157-MXBJS,B
9360-AHGNL,A
1087-UDSIH,B
5485-WUYWF,A
2632-UCGVD,A
5445-PZWGX,B
9170-CCKOU,A
1043-YCUTE,B
3814-MLAXC,B
1226-UDFZR,B
6425-YQLLO,B
5442-UTCVD,B
7734-DBOAI,A
2091-RFFBA,B
2114-MGINA,B
4489-SNOJF,A
6899-PPEEA,A
2187-LZGPL,B
4597-NUCQV,A
9019-QVLZD,B
3707-LRWZD,A
1455-ESIQH,A
2979-SXESE,B
4013-TLDHQ,B
3754-DXMRT,B
7130-VTEWQ,A
6121-VZNQB,A
7903-CMPEY,B
6996-KNSML,A
1704-NRWYE,B
2592-SEIFQ,A
7481-ATQQS,B
8642-GVWRF,B
3400-ESFUW,B
2057-ZBLPD,A
5502-RLUYV,A
0023-HGHWL,A
9039-RBEEE,B
8417-FMLZI,A
1792-UXAFY,A
0515-YPMCW,A
0378-XSZPU,A
4729-XKASR,A
5449-FIBXJ,A
9837-BMCLM,A
0137-UDEUO,A
6161-UUUTA,A
6543-XRMYR,A
4925-LMHOK,A
1455-UGQVH,A
8280-MQRQN,B
2037-SGXHH,A
3178-FESZO,A
6087-MVHJH,A
4603-JANFB,B
3018-TFTSU,A
4806-KEXQR,A
7083-YNSKY,B
2479-BRAMR,B
7434-SHXLS,B
7908-QCBCA,A
6711-FLDFB,A
3714-JTVOV,B
4702-IOQDC,B
6178-KFNHS,A
1264-BYWMS,A
9658-WYUFB,A
2013-SGDXK,B
8580-QVLOC,B
2012-NWRPA,B
8808-ELEHO,B
3506-LCJDC,A
3934-HXCFZ,A
7666-WKRON,B
4910-AQFFX,B
2154-KVJFF,A
9647-ERGBE,A
3428-XZMAZ,A
0378-TOVMS,B
4355-HBJHH,A
9058-CBREO,A
0318-QUUOB,B
5520-FVEWJ,B
5572-ZDXHY,A
3750-CKVKH,B
8063-GBATB,B
4547-KQRTM,A
4877-EVATK,B
7639-SUPCW,A
1069-XAIEM,B
4658-HCOHW,B
3440-JPSCL,A
2889-FPWRM,A
6987-XQSJT,B
4290-BSXUX,B
0325-XBFAC,A
2462-XIIJB,A
4760-XOHVN,A
7817-BOQPW,A
1853-UDXBW,B
5458-CQJTA,A
5219-YIPTK,A
3540-RZJYU,B
2091-MJTFX,B
0883-EIBTI,A
0722-TROQR,B
7571-YXDAD,A
3393-FMZPV,A
6402-ZFPPI,B
7486-KSRVI,A
8443-WVPSS,A
3006-XIMLN,A
9965-YOKZB,B
0504-HHAPI,B
6305-YLBMM,B
3647-GMGDH,A
3791-LGQCY,B
8166-ZZTFS,B
2956-GGUCQ,B
6595-COKXZ,B
0362-ZBZWJ,A
4211-MMAZN,B
4274-OWWYO,B
1541-ETJZO,A
4106-HADHQ,A
2369-UAPKZ,A
2778-OCLGR,B
0637-KVDLV,A
6633-MPWBS,A
8785-EPNCG,A
5729-KLZAR,A
1582-RAFML,A
8740-CRYFY,B
2962-XPMCQ,B
1678-FYZOW,B
8627-EHGIP,B
5480-TBGPH,B
8854-CCVSQ,A
0511-JTEOY,A
7067-KSAZT,A
6532-YLWSI,A
9300-AGZNL,A
1112-CUNAO,B
5175-AOBHI,B
5174-RNGBH,A
7270-BDIOA,B
9565-JSNFM,B
0607-DAAHE,A
9732-KPKBW,A
3389-YGYAI,B
9560-ARGQJ,B
5134-IKDAY,B
